n_counts_for_gene,n_cryptic,pc_cryptic,gene_name,sample_name
191,5,2.617801047,PXDN,P28_07
51,9,17.64705882,PXDN,P35_07
3,3,100,RAI2,P86_08
6,1,16.66666667,RAI2,P63_05
1,0,0,RAI2,P40_04
1,1,100,RAI2,P47_11
2,0,0,RAI2,P56_13
5,2,40,RAI2,P45_15
6,5,83.33333333,RAI2,P64_11
2,1,50,RAI2,P16_09
3,0,0,RAI2,P28_07
2,0,0,RAI2,P35_07
1111,11,0.99009901,RALGAPA2,P86_08
1213,1,0.082440231,RALGAPA2,P63_05
1936,19,0.981404959,RALGAPA2,P11_07
858,0,0,RALGAPA2,P40_04
1503,0,0,RALGAPA2,P13_13
1166,14,1.200686106,RALGAPA2,P47_11
1392,0,0,RALGAPA2,P56_13
1642,13,0.791717418,RALGAPA2,P45_15
1170,0,0,RALGAPA2,P07_15
471,0,0,RALGAPA2,P17_07
3527,0,0,RALGAPA2,P64_11
733,4,0.545702592,RALGAPA2,P16_09
2270,23,1.013215859,RALGAPA2,P28_07
658,0,0,RALGAPA2,P35_07
6502,140,2.153183636,RAP1GAP,P86_08
7154,118,1.649426894,RAP1GAP,P63_05
648,1,0.154320988,RAP1GAP,P11_07
10034,73,0.72752641,RAP1GAP,P40_04
5121,21,0.410076157,RAP1GAP,P13_13
18178,47,0.258554296,RAP1GAP,P47_11
19051,798,4.188756496,RAP1GAP,P56_13
7998,455,5.688922231,RAP1GAP,P45_15
5314,75,1.411366202,RAP1GAP,P07_15
12675,10,0.078895464,RAP1GAP,P17_07
11127,1,0.008987148,RAP1GAP,P64_11
9732,183,1.880394575,RAP1GAP,P16_09
3664,159,4.339519651,RAP1GAP,P28_07
6411,2,0.031196381,RAP1GAP,P35_07
6305,258,4.091990484,RNF115,P86_08
5708,295,5.168185004,RNF115,P63_05
7592,607,7.995258166,RNF115,P11_07
7897,280,3.545650247,RNF115,P40_04
5171,255,4.931347902,RNF115,P13_13
2,0,0,RNF115,ddH2O
7194,310,4.309146511,RNF115,P47_11
8908,455,5.107768298,RNF115,P56_13
8771,454,5.176148672,RNF115,P45_15
5951,469,7.881028399,RNF115,P07_15
4510,559,12.39467849,RNF115,P17_07
16723,609,3.641691084,RNF115,P64_11
5617,152,2.706070856,RNF115,P16_09
10569,397,3.756268332,RNF115,P28_07
6380,115,1.802507837,RNF115,P35_07
16008,30,0.187406297,RSF1,P86_08
17296,48,0.277520814,RSF1,P63_05
21928,22,0.100328347,RSF1,P11_07
18150,74,0.407713499,RSF1,P40_04
17295,25,0.144550448,RSF1,P13_13
10,0,0,RSF1,ddH2O
7616,2,0.026260504,RSF1,P47_11
11885,117,0.984434161,RSF1,P56_13
16230,125,0.770178681,RSF1,P45_15
11507,37,0.321543408,RSF1,P07_15
9135,0,0,RSF1,P17_07
35242,0,0,RSF1,P64_11
9966,30,0.30102348,RSF1,P16_09
28359,45,0.158679784,RSF1,P28_07
9661,3,0.031052686,RSF1,P35_07
564,0,0,SCRT1,P86_08
402,0,0,SCRT1,P63_05
241,0,0,SCRT1,P11_07
931,0,0,SCRT1,P40_04
1205,0,0,SCRT1,P13_13
2835,0,0,SCRT1,P47_11
1807,0,0,SCRT1,P56_13
1124,0,0,SCRT1,P45_15
952,0,0,SCRT1,P07_15
682,0,0,SCRT1,P17_07
2124,0,0,SCRT1,P64_11
699,0,0,SCRT1,P16_09
316,0,0,SCRT1,P28_07
2560,0,0,SCRT1,P35_07
1,0,0,SEMA6D,P11_07
2,2,100,SEMA6D,P56_13
7,0,0,SEMA6D,P07_15
1,0,0,SEMA6D,P28_07
610,0,0,SEPT7P2,P86_08
518,0,0,SEPT7P2,P63_05
66,0,0,SEPT7P2,P11_07
887,0,0,SEPT7P2,P40_04
1178,0,0,SEPT7P2,P13_13
2,0,0,SEPT7P2,ddH2O
3031,0,0,SEPT7P2,P47_11
1911,0,0,SEPT7P2,P56_13
986,0,0,SEPT7P2,P45_15
1056,0,0,SEPT7P2,P07_15
2333,0,0,SEPT7P2,P17_07
1841,0,0,SEPT7P2,P64_11
1097,0,0,SEPT7P2,P16_09
414,0,0,SEPT7P2,P28_07
1160,0,0,SEPT7P2,P35_07
966,192,19.8757764,SETD5,P86_08
898,176,19.59910913,SETD5,P63_05
1071,135,12.60504202,SETD5,P11_07
1239,533,43.01856336,SETD5,P40_04
1158,255,22.02072539,SETD5,P13_13
1571,649,41.31126671,SETD5,P47_11
1614,561,34.75836431,SETD5,P56_13
1570,495,31.52866242,SETD5,P45_15
1149,272,23.67275892,SETD5,P07_15
2849,930,32.64303264,SETD5,P17_07
2929,534,18.23147832,SETD5,P64_11
811,359,44.26633785,SETD5,P16_09
1393,251,18.01866475,SETD5,P28_07
775,344,44.38709677,SETD5,P35_07
56,0,0,SHQ1,P86_08
96,0,0,SHQ1,P63_05
255,0,0,SHQ1,P11_07
45,0,0,SHQ1,P40_04
30,0,0,SHQ1,P13_13
81,0,0,SHQ1,P47_11
49,1,2.040816327,SHQ1,P56_13
88,10,11.36363636,SHQ1,P45_15
69,23,33.33333333,SHQ1,P07_15
45,0,0,SHQ1,P17_07
146,0,0,SHQ1,P64_11
31,1,3.225806452,SHQ1,P16_09
119,14,11.76470588,SHQ1,P28_07
67,0,0,SHQ1,P35_07
1848,25,1.352813853,SLC24A3,P86_08
664,30,4.518072289,SLC24A3,P63_05
659,64,9.71168437,SLC24A3,P11_07
1734,39,2.249134948,SLC24A3,P40_04
2269,20,0.881445571,SLC24A3,P13_13
1997,60,3.00450676,SLC24A3,P47_11
2054,122,5.93962999,SLC24A3,P56_13
4005,70,1.747815231,SLC24A3,P45_15
2087,75,3.593675132,SLC24A3,P07_15
660,0,0,SLC24A3,P17_07
5526,20,0.361925443,SLC24A3,P64_11
1582,56,3.539823009,SLC24A3,P16_09
5677,179,3.153073807,SLC24A3,P28_07
1257,42,3.341288783,SLC24A3,P35_07
2,0,0,SLC5A7,P86_08
4,0,0,SLC5A7,P63_05
6,0,0,SLC5A7,P11_07
13,6,46.15384615,SLC5A7,P40_04
4,0,0,SLC5A7,P47_11
8,0,0,SLC5A7,P56_13
5,0,0,SLC5A7,P35_07
207,9,4.347826087,SPACA9,P86_08
129,8,6.201550388,SPACA9,P63_05
108,11,10.18518519,SPACA9,P11_07
179,9,5.027932961,SPACA9,P40_04
134,0,0,SPACA9,P13_13
269,17,6.319702602,SPACA9,P47_11
299,21,7.023411371,SPACA9,P56_13
264,6,2.272727273,SPACA9,P45_15
102,5,4.901960784,SPACA9,P07_15
181,7,3.867403315,SPACA9,P17_07
362,37,10.22099448,SPACA9,P64_11
141,7,4.964539007,SPACA9,P16_09
338,17,5.029585799,SPACA9,P28_07
160,12,7.5,SPACA9,P35_07
183,0,0,SPEG,P86_08
117,0,0,SPEG,P63_05
103,0,0,SPEG,P11_07
205,0,0,SPEG,P40_04
168,0,0,SPEG,P13_13
461,0,0,SPEG,P47_11
337,0,0,SPEG,P56_13
294,0,0,SPEG,P45_15
187,0,0,SPEG,P07_15
203,0,0,SPEG,P17_07
670,0,0,SPEG,P64_11
196,0,0,SPEG,P16_09
304,0,0,SPEG,P28_07
229,0,0,SPEG,P35_07
2593,10,0.385653683,STMN2,P86_08
2136,10,0.468164794,STMN2,P63_05
350,0,0,STMN2,P11_07
13406,6,0.044756079,STMN2,P40_04
4570,0,0,STMN2,P13_13
6,0,0,STMN2,ddH2O
14359,0,0,STMN2,P47_11
11205,19,0.169567158,STMN2,P56_13
4177,17,0.406990663,STMN2,P45_15
3545,9,0.253878702,STMN2,P07_15
22461,0,0,STMN2,P17_07
4152,3,0.072254335,STMN2,P64_11
11484,10,0.087077673,STMN2,P16_09
1184,24,2.027027027,STMN2,P28_07
13491,0,0,STMN2,P35_07
47664,0,0,SYNE1,P86_08
45043,0,0,SYNE1,P63_05
216089,0,0,SYNE1,P11_07
58349,0,0,SYNE1,P40_04
49468,0,0,SYNE1,P13_13
26,0,0,SYNE1,ddH2O
41976,0,0,SYNE1,P47_11
65266,0,0,SYNE1,P56_13
82779,0,0,SYNE1,P45_15
45268,1,0.002209066,SYNE1,P07_15
97347,0,0,SYNE1,P17_07
96479,0,0,SYNE1,P64_11
42107,0,0,SYNE1,P16_09
90743,0,0,SYNE1,P28_07
46418,0,0,SYNE1,P35_07
5466,5,0.09147457,SYNJ2,P86_08
18465,9,0.048740861,SYNJ2,P63_05
6330,24,0.379146919,SYNJ2,P11_07
8325,14,0.168168168,SYNJ2,P40_04
10030,149,1.48554337,SYNJ2,P13_13
5,0,0,SYNJ2,ddH2O
5915,0,0,SYNJ2,P47_11
11071,127,1.14714118,SYNJ2,P56_13
6371,26,0.408099199,SYNJ2,P45_15
5978,2,0.033456005,SYNJ2,P07_15
7198,0,0,SYNJ2,P17_07
9157,1,0.010920607,SYNJ2,P64_11
5557,1,0.017995321,SYNJ2,P16_09
7751,11,0.141917172,SYNJ2,P28_07
7387,3,0.040611886,SYNJ2,P35_07
478,9,1.882845188,SYT7,P86_08
657,11,1.674277017,SYT7,P63_05
135,0,0,SYT7,P11_07
2534,8,0.315706393,SYT7,P40_04
410,2,0.487804878,SYT7,P13_13
2,0,0,SYT7,ddH2O
4463,2,0.044812906,SYT7,P47_11
4237,26,0.613641728,SYT7,P56_13
915,15,1.639344262,SYT7,P45_15
837,6,0.716845878,SYT7,P07_15
1945,0,0,SYT7,P17_07
1341,0,0,SYT7,P64_11
3039,1,0.032905561,SYT7,P16_09
373,22,5.898123324,SYT7,P28_07
3252,4,0.12300123,SYT7,P35_07
909,0,0,TFAP2E,P86_08
483,0,0,TFAP2E,P63_05
116,0,0,TFAP2E,P11_07
427,0,0,TFAP2E,P40_04
375,0,0,TFAP2E,P13_13
1176,0,0,TFAP2E,P47_11
637,0,0,TFAP2E,P56_13
941,0,0,TFAP2E,P45_15
1255,0,0,TFAP2E,P07_15
1035,0,0,TFAP2E,P17_07
1048,0,0,TFAP2E,P64_11
410,0,0,TFAP2E,P16_09
511,0,0,TFAP2E,P28_07
355,0,0,TFAP2E,P35_07
1684,0,0,TRAPPC12,P86_08
1245,0,0,TRAPPC12,P63_05
2195,0,0,TRAPPC12,P11_07
1744,0,0,TRAPPC12,P40_04
970,0,0,TRAPPC12,P13_13
3,0,0,TRAPPC12,ddH2O
4238,0,0,TRAPPC12,P47_11
2842,0,0,TRAPPC12,P56_13
2057,0,0,TRAPPC12,P45_15
1417,0,0,TRAPPC12,P07_15
960,0,0,TRAPPC12,P17_07
3254,0,0,TRAPPC12,P64_11
1302,0,0,TRAPPC12,P16_09
2871,0,0,TRAPPC12,P28_07
2069,0,0,TRAPPC12,P35_07
9747,81,0.831024931,TRRAP,P86_08
9611,38,0.395380293,TRRAP,P63_05
17896,0,0,TRRAP,P11_07
8574,21,0.244926522,TRRAP,P40_04
6746,25,0.370589979,TRRAP,P13_13
6,0,0,TRRAP,ddH2O
8208,0,0,TRRAP,P47_11
13035,158,1.212121212,TRRAP,P56_13
15000,206,1.373333333,TRRAP,P45_15
9565,72,0.752744381,TRRAP,P07_15
12530,0,0,TRRAP,P17_07
17586,0,0,TRRAP,P64_11
5001,32,0.639872026,TRRAP,P16_09
15872,169,1.064768145,TRRAP,P28_07
6526,0,0,TRRAP,P35_07
3296,3189,96.75364078,TSPOAP1,P86_08
1536,1493,97.20052083,TSPOAP1,P63_05
1172,1112,94.88054608,TSPOAP1,P11_07
4339,4172,96.15118691,TSPOAP1,P40_04
4291,4120,96.01491494,TSPOAP1,P13_13
14435,14159,98.0879806,TSPOAP1,P47_11
5681,5459,96.09223728,TSPOAP1,P56_13
9788,9420,96.24029424,TSPOAP1,P45_15
3057,2920,95.51848217,TSPOAP1,P07_15
1948,1619,83.11088296,TSPOAP1,P17_07
10156,9835,96.83930681,TSPOAP1,P64_11
4437,4274,96.32634663,TSPOAP1,P16_09
4044,3841,94.98021761,TSPOAP1,P28_07
2732,2639,96.59590044,TSPOAP1,P35_07
1112,210,18.88489209,TUT7,P86_08
977,193,19.75435005,TUT7,P63_05
2022,564,27.89317507,TUT7,P11_07
821,120,14.61632156,TUT7,P40_04
869,0,0,TUT7,P13_13
1480,117,7.905405405,TUT7,P47_11
1496,236,15.77540107,TUT7,P56_13
1757,316,17.98520205,TUT7,P45_15
1093,253,23.14730101,TUT7,P07_15
401,31,7.730673317,TUT7,P17_07
2787,621,22.28202368,TUT7,P64_11
535,73,13.64485981,TUT7,P16_09
2035,300,14.74201474,TUT7,P28_07
678,87,12.83185841,TUT7,P35_07
623,0,0,UBASH3B,P86_08
498,1,0.200803213,UBASH3B,P63_05
259,0,0,UBASH3B,P11_07
565,0,0,UBASH3B,P40_04
533,0,0,UBASH3B,P13_13
1400,0,0,UBASH3B,P47_11
634,3,0.47318612,UBASH3B,P56_13
429,0,0,UBASH3B,P45_15
343,1,0.29154519,UBASH3B,P07_15
105,0,0,UBASH3B,P17_07
1640,0,0,UBASH3B,P64_11
451,2,0.44345898,UBASH3B,P16_09
412,0,0,UBASH3B,P28_07
746,0,0,UBASH3B,P35_07
1219,145,11.8949959,UBE3D,P86_08
1103,93,8.431550317,UBE3D,P63_05
601,57,9.484193012,UBE3D,P11_07
2280,327,14.34210526,UBE3D,P40_04
1149,53,4.612706701,UBE3D,P13_13
4971,607,12.21082277,UBE3D,P47_11
2354,179,7.604078165,UBE3D,P56_13
4234,724,17.09966934,UBE3D,P45_15
1993,268,13.44706473,UBE3D,P07_15
822,53,6.447688564,UBE3D,P17_07
4295,606,14.10942957,UBE3D,P64_11
1382,169,12.22865412,UBE3D,P16_09
1992,175,8.785140562,UBE3D,P28_07
883,49,5.549263873,UBE3D,P35_07
491,5,1.018329939,UNC13A,P86_08
425,3,0.705882353,UNC13A,P63_05
104,0,0,UNC13A,P11_07
3394,0,0,UNC13A,P40_04
1350,0,0,UNC13A,P13_13
4480,0,0,UNC13A,P47_11
3462,76,2.195262854,UNC13A,P56_13
865,44,5.086705202,UNC13A,P45_15
651,12,1.843317972,UNC13A,P07_15
1324,0,0,UNC13A,P17_07
1744,0,0,UNC13A,P64_11
3816,6,0.157232704,UNC13A,P16_09
489,32,6.54396728,UNC13A,P28_07
2634,2,0.075930144,UNC13A,P35_07
480,1,0.208333333,WDR35,P86_08
280,14,5,WDR35,P63_05
842,18,2.137767221,WDR35,P11_07
274,27,9.854014599,WDR35,P40_04
241,11,4.564315353,WDR35,P13_13
527,33,6.261859583,WDR35,P47_11
446,31,6.950672646,WDR35,P56_13
512,10,1.953125,WDR35,P45_15
248,1,0.403225806,WDR35,P07_15
169,13,7.692307692,WDR35,P17_07
969,4,0.412796698,WDR35,P64_11
236,12,5.084745763,WDR35,P16_09
746,26,3.485254692,WDR35,P28_07
271,2,0.73800738,WDR35,P35_07
177,0,0,ZFAT,P86_08
210,0,0,ZFAT,P63_05
535,0,0,ZFAT,P11_07
169,0,0,ZFAT,P40_04
108,0,0,ZFAT,P13_13
217,0,0,ZFAT,P47_11
190,0,0,ZFAT,P56_13
349,0,0,ZFAT,P45_15
222,0,0,ZFAT,P07_15
191,0,0,ZFAT,P17_07
341,0,0,ZFAT,P64_11
126,0,0,ZFAT,P16_09
338,0,0,ZFAT,P28_07
141,0,0,ZFAT,P35_07
13339,28,0.209910788,ZNF423,P86_08
3731,41,1.098901099,ZNF423,P63_05
5527,97,1.755020807,ZNF423,P11_07
8584,84,0.978564772,ZNF423,P40_04
12976,198,1.525893958,ZNF423,P13_13
2,0,0,ZNF423,ddH2O
10844,1062,9.793434157,ZNF423,P47_11
12257,383,3.124745044,ZNF423,P56_13
20399,555,2.720721604,ZNF423,P45_15
13848,237,1.711438475,ZNF423,P07_15
5868,88,1.499659168,ZNF423,P17_07
25484,433,1.699105321,ZNF423,P64_11
3867,91,2.35324541,ZNF423,P16_09
34366,624,1.815748123,ZNF423,P28_07
4168,50,1.199616123,ZNF423,P35_07
3297,34,1.031240522,ZNF431,P86_08
4715,42,0.890774125,ZNF431,P63_05
3611,35,0.969260593,ZNF431,P11_07
3338,20,0.599161174,ZNF431,P40_04
1832,1,0.054585153,ZNF431,P13_13
2665,78,2.926829268,ZNF431,P47_11
3030,36,1.188118812,ZNF431,P56_13
3317,44,1.326499849,ZNF431,P45_15
2428,20,0.823723229,ZNF431,P07_15
1227,11,0.896495518,ZNF431,P17_07
5615,54,0.961709706,ZNF431,P64_11
1816,14,0.77092511,ZNF431,P16_09
4414,25,0.566379701,ZNF431,P28_07
2478,14,0.564971751,ZNF431,P35_07
2017,0,0,ZNF521,P86_08
1686,0,0,ZNF521,P63_05
5118,0,0,ZNF521,P11_07
1195,0,0,ZNF521,P40_04
864,0,0,ZNF521,P13_13
2,0,0,ZNF521,ddH2O
1106,0,0,ZNF521,P47_11
1267,2,0.157853197,ZNF521,P56_13
2302,0,0,ZNF521,P45_15
1229,0,0,ZNF521,P07_15
840,0,0,ZNF521,P17_07
2819,0,0,ZNF521,P64_11
1106,0,0,ZNF521,P16_09
2458,0,0,ZNF521,P28_07
715,0,0,ZNF521,P35_07
104,0,0,ZNF527,P86_08
176,0,0,ZNF527,P63_05
383,0,0,ZNF527,P11_07
124,0,0,ZNF527,P40_04
26,0,0,ZNF527,P13_13
184,0,0,ZNF527,P47_11
140,0,0,ZNF527,P56_13
168,0,0,ZNF527,P45_15
106,0,0,ZNF527,P07_15
109,0,0,ZNF527,P17_07
174,0,0,ZNF527,P64_11
114,0,0,ZNF527,P16_09
260,0,0,ZNF527,P28_07
74,0,0,ZNF527,P35_07
11,0,0,ZNF529,P86_08
7,0,0,ZNF529,P63_05
29,0,0,ZNF529,P11_07
8,0,0,ZNF529,P40_04
65,0,0,ZNF529,P13_13
15,0,0,ZNF529,P47_11
18,0,0,ZNF529,P56_13
34,0,0,ZNF529,P45_15
29,0,0,ZNF529,P07_15
11,0,0,ZNF529,P17_07
38,0,0,ZNF529,P64_11
38,0,0,ZNF529,P16_09
41,0,0,ZNF529,P28_07
9,0,0,ZNF529,P35_07
244,0,0,ZNF583,P86_08
249,0,0,ZNF583,P63_05
224,0,0,ZNF583,P11_07
218,0,0,ZNF583,P40_04
219,0,0,ZNF583,P13_13
267,0,0,ZNF583,P47_11
310,0,0,ZNF583,P56_13
332,0,0,ZNF583,P45_15
196,0,0,ZNF583,P07_15
168,0,0,ZNF583,P17_07
447,0,0,ZNF583,P64_11
166,0,0,ZNF583,P16_09
347,0,0,ZNF583,P28_07
135,0,0,ZNF583,P35_07
13,0,0,ZNF826P,P63_05
15,0,0,ZNF826P,P40_04
4,0,0,ZNF826P,P56_13
29,0,0,ZNF826P,P64_11
6,0,0,ZNF826P,P28_07