gene_name,gene_id,nmd_call,total_rna,experiment_clean,max_exp2
ITGA3,ENSG00000005884,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
RSF1,ENSG00000048649,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
FAM114A2,ENSG00000055147,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
FAM114A2,ENSG00000055147,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PSD,ENSG00000059915,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
PFKP,ENSG00000067057,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 70%
KCNQ2,ENSG00000075043,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ACTL6B,ENSG00000077080,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
RAP1GAP,ENSG00000076864,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
DLGAP4,ENSG00000080845,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
CERS4,ENSG00000090661,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
AARS,ENSG00000090861,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
NUP188,ENSG00000095319,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 70%
RANBP1,ENSG00000099901,NMD rescued,downregulated,TDP-43 KD - i3 Corti,Dark cryptic
MYO9B,ENSG00000099331,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
BCL2L13,ENSG00000099968,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
USP10,ENSG00000103194,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
CORO7,ENSG00000262246,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
STMN2,ENSG00000104435,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 50%
MAST1,ENSG00000105613,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
CRTC1,ENSG00000105662,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
DNM1,ENSG00000106976,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
IQCE,ENSG00000106012,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 70%
WASL,ENSG00000106299,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
NSMCE4A,ENSG00000107672,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
MADD,ENSG00000110514,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
AKT3,ENSG00000117020,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
ERI3,ENSG00000117419,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
DLGAP3,ENSG00000116544,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
DLGAP3,ENSG00000116544,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
WDR35,ENSG00000118965,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 50%
MED13L,ENSG00000123066,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
MTRR,ENSG00000124275,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PKN1,ENSG00000123143,NMD rescued,downregulated,TDP-43 KD - i3 Corti,Dark cryptic
CDO1,ENSG00000129596,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
UNC13A,ENSG00000130477,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
PXDN,ENSG00000130508,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
SYNE1,ENSG00000131018,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
EPB41L4A,ENSG00000129595,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 70%
MTSS1L,ENSG00000132613,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
TRAF3,ENSG00000131323,NMD rescued,downregulated,TDP-43 KD - i3 Corti,Dark cryptic
CDK7,ENSG00000134058,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
MEIS2,ENSG00000134138,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
ARHGAP32,ENSG00000134909,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 70%
MICAL1,ENSG00000135596,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
HAUS2,ENSG00000137814,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
TGFBRAP1,ENSG00000135966,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SEPT11,ENSG00000138758,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
RPTOR,ENSG00000141564,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
CEP131,ENSG00000141577,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
CEP131,ENSG00000141577,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
SHQ1,ENSG00000144736,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
RPGR,ENSG00000156313,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
PTPRN2,ENSG00000155093,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
ISL2,ENSG00000159556,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 10%
USP24,ENSG00000162402,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
IFT122,ENSG00000163913,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
SEPT8,ENSG00000164402,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ADCY1,ENSG00000164742,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 50%
ADCY1,ENSG00000164742,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 50%
FOXK1,ENSG00000164916,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PTPN13,ENSG00000163629,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
MGAT5B,ENSG00000167889,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
ATG4B,ENSG00000168397,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
ATG4B,ENSG00000168397,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
ISLR2,ENSG00000167178,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SETD5,ENSG00000168137,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
TRAPPC12,ENSG00000171853,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 50%
TRAPPC12,ENSG00000171853,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 50%
NADSYN1,ENSG00000172890,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
CHID1,ENSG00000177830,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
NPLOC4,ENSG00000182446,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
EP400,ENSG00000183495,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
PCBP3,ENSG00000183570,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
AGRN,ENSG00000188157,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
L3MBTL1,ENSG00000185513,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
LRCH3,ENSG00000186001,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ZNF529,ENSG00000186020,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 70%
GREB1,ENSG00000196208,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
DAPK1,ENSG00000196730,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 10%
UNC13B,ENSG00000198722,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
ELAVL3,ENSG00000196361,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
RANBP17,ENSG00000204764,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ZGPAT,ENSG00000197114,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
MYO1C,ENSG00000197879,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
KIAA0753,ENSG00000198920,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
ETV5,ENSG00000244405,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
NYNRIN,ENSG00000205978,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 70%
SYT3,ENSG00000213023,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SEPT7P2,ENSG00000214765,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
ZNF826P,ENSG00000231205,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
CDK11A,ENSG00000008128,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
AL031282.2,ENSG00000268575,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
HECW1,ENSG00000002746,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ICA1,ENSG00000003147,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
TSPOAP1,ENSG00000005379,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SYT7,ENSG00000011347,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 70%
CLDN11,ENSG00000013297,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
MNAT1,ENSG00000020426,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
NRXN3,ENSG00000021645,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ZFP64,ENSG00000020256,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
RNASET2,ENSG00000026297,NMD rescued,downregulated,TDP-43 KD - i3 Corti,Dark cryptic
AGPAT4,ENSG00000026652,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 70%
POU2F2,ENSG00000028277,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
HDAC9,ENSG00000048052,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
ZNF800,ENSG00000048405,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
RSF1,ENSG00000048649,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
MPHOSPH9,ENSG00000051825,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
FOXN3,ENSG00000053254,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
USP36,ENSG00000055483,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
USP36,ENSG00000055483,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
CAMK2B,ENSG00000058404,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
CAMK2B,ENSG00000058404,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
CDON,ENSG00000064309,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ZFAT,ENSG00000066827,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
PFKP,ENSG00000067057,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 70%
P4HA2,ENSG00000072682,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
ADGRL1,ENSG00000072071,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SPEG,ENSG00000072195,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
CTTNBP2,ENSG00000077063,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
CIC,ENSG00000079432,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
SAR1A,ENSG00000079332,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
KIAA0141,ENSG00000081791,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
PHACTR3,ENSG00000087495,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
CRLS1,ENSG00000088766,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
MAPKAPK5,ENSG00000089022,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
MAPKAPK5,ENSG00000089022,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
KDM2B,ENSG00000089094,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
GRAMD1A,ENSG00000089351,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 10%
CHGB,ENSG00000089199,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
G2E3,ENSG00000092140,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
HDAC6,ENSG00000094631,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
CRTAC1,ENSG00000095713,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 10%
GOLGA7B,ENSG00000155265,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SEZ6L,ENSG00000100095,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
GSS,ENSG00000100983,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PCSK1N,ENSG00000102109,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PCSK1N,ENSG00000102109,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
MON1B,ENSG00000103111,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
NECAB2,ENSG00000103154,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 30%
RPGRIP1L,ENSG00000103494,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
IKBKB,ENSG00000104365,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
EIF3E,ENSG00000104408,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
RUNDC3B,ENSG00000105784,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
RASA4,ENSG00000105808,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PHF12,ENSG00000109118,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
NFKB1,ENSG00000109320,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
MPP2,ENSG00000108852,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
KIAA1549L,ENSG00000110427,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
CEP72,ENSG00000112877,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
CEP72,ENSG00000112877,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
PDE10A,ENSG00000112541,NMD rescued,downregulated,TDP-43 KD - i3 Corti,Dark cryptic
FAM120B,ENSG00000112584,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
IK,ENSG00000113141,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
FRMD4B,ENSG00000114541,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
KIAA1324,ENSG00000116299,NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 30%
IGSF21,ENSG00000117154,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
SLC8A2,ENSG00000118160,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
DCAF4,ENSG00000119599,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
KCNIP2,ENSG00000120049,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
FKBP1B,ENSG00000119782,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PLXDC2,ENSG00000120594,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
GPSM2,ENSG00000121957,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 50%
ADGRB2,ENSG00000121753,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
HPCA,ENSG00000121905,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
C7orf49,ENSG00000122783,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
CDKN1A,ENSG00000124762,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
RALY,ENSG00000125970,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
TMEM175,ENSG00000127419,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
PIN1,ENSG00000127445,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ZNF780B,ENSG00000128000,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
KNSTRN,ENSG00000128944,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SERGEF,ENSG00000129158,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ARHGAP22,ENSG00000128805,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 50%
ERMARD,ENSG00000130023,NMD rescued,downregulated,TDP-43 KD - i3 Corti,Dark cryptic
PXDN,ENSG00000130508,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
SYNE1,ENSG00000131018,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
CASZ1,ENSG00000130940,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 10%
ZNF141,ENSG00000131127,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
NUP210,ENSG00000132182,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
RIN2,ENSG00000132669,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SCLY,ENSG00000132330,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
TPGS2,ENSG00000134779,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
ITGA7,ENSG00000135424,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
DTX1,ENSG00000135144,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
IL11RA,ENSG00000137070,NMD rescued, upregulated,TDP-43 KD - i3 Corti,Dark cryptic
ACTR1A,ENSG00000138107,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
MFSD13A,ENSG00000138111,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
SEMA6D,ENSG00000137872,non-NMD rescued, upregulated,TDP-43 KD - i3 Corti,> 10%
SSFA2,ENSG00000138434,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
SSFA2,ENSG00000138434,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
KIF21A,ENSG00000139116,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
GRTP1,ENSG00000139835,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
NKD1,ENSG00000140807,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
FBN3,ENSG00000142449,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 70%
EIF2D,ENSG00000143486,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
VASH2,ENSG00000143494,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
CNGA3,ENSG00000144191,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
MBOAT2,ENSG00000143797,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
TIFA,ENSG00000145365,NMD rescued,downregulated,TDP-43 KD - i3 Corti,Dark cryptic
G3BP1,ENSG00000145907,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 30%
MMS22L,ENSG00000146263,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
C9orf72,ENSG00000147894,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
FEZ1,ENSG00000149557,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 30%
CAMK2G,ENSG00000148660,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
LRRC27,ENSG00000148814,non-NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 10%
DOCK1,ENSG00000150760,NMD rescued,downregulated,TDP-43 KD - i3 Corti,> 50%
DLG5,ENSG00000151208,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
SOGA1,ENSG00000149639,NMD rescued,N.S.,TDP-43 KD - i3 Corti,Dark cryptic
CACNA1C,ENSG00000151067,NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
CACNA1C,ENSG00000151067,non-NMD rescued,N.S.,TDP-43 KD - i3 Corti,> 10%
