gene_name,gene_id,nmd_call,total_rna,experiment_clean,max_exp2
TTLL12,ENSG00000100304,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MTMR3,ENSG00000100330,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TNRC6B,ENSG00000100354,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
POLE2,ENSG00000100479,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
KIAA0586,ENSG00000100578,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
NIN,ENSG00000100503,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CHD8,ENSG00000100888,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PABPC1L,ENSG00000101104,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TCFL5,ENSG00000101190,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
RBFA,ENSG00000101546,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
APMAP,ENSG00000101474,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
CELF4,ENSG00000101489,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CELF4,ENSG00000101489,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ADNP2,ENSG00000101544,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TBL1X,ENSG00000101849,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
POLI,ENSG00000101751,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ALG13,ENSG00000101901,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
ALG13,ENSG00000101901,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
ABCD1,ENSG00000101986,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
ABCD1,ENSG00000101986,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
TAFAZZIN,ENSG00000102125,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PORCN,ENSG00000102312,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
VWA8,ENSG00000102763,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AXIN1,ENSG00000103126,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HSDL1,ENSG00000103160,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
USP10,ENSG00000103194,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
USP10,ENSG00000103194,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ABCC1,ENSG00000103222,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GGA2,ENSG00000103365,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CORO7-PAM16,ENSG00000103426,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
CORO7,ENSG00000262246,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 30%
XYLT1,ENSG00000103489,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF500,ENSG00000103199,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
SPG11,ENSG00000104133,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
IKBKB,ENSG00000104365,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ERI1,ENSG00000104626,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PPP6R1,ENSG00000105063,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
PPP6R1,ENSG00000105063,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
DOT1L,ENSG00000104885,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
VRK3,ENSG00000105053,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CARD8,ENSG00000105483,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MAST1,ENSG00000105613,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
MAST1,ENSG00000105613,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
SIPA1L3,ENSG00000105738,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DNAJB6,ENSG00000105993,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SNX8,ENSG00000106266,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TAF6,ENSG00000106290,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CRTC1,ENSG00000105662,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RBM28,ENSG00000106344,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ANKMY2,ENSG00000106524,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DNM1,ENSG00000106976,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
DNM1,ENSG00000106976,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
FUBP3,ENSG00000107164,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
IQCE,ENSG00000106012,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
TRDMT1,ENSG00000107614,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
WASL,ENSG00000106299,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
USP42,ENSG00000106346,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
NSMCE4A,ENSG00000107672,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
YKT6,ENSG00000106636,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HSD17B1,ENSG00000108786,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PTGES3L-AARSD1,ENSG00000108825,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DNMBP,ENSG00000107554,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
LZTS2,ENSG00000107816,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ARHGAP21,ENSG00000107863,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ANKRD26,ENSG00000107890,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PHF12,ENSG00000109118,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DNAJC12,ENSG00000108176,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CLCN3,ENSG00000109572,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PIGL,ENSG00000108474,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
INTS2,ENSG00000108506,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MADD,ENSG00000110514,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
NEIL3,ENSG00000109674,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
SH3D19,ENSG00000109686,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
PUS3,ENSG00000110060,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DCPS,ENSG00000110063,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PPP6R3,ENSG00000110075,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RNGTT,ENSG00000111880,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PPARD,ENSG00000112033,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
E2F3,ENSG00000112242,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
PDE10A,ENSG00000112541,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ACAD10,ENSG00000111271,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ACAD10,ENSG00000111271,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
UHRF1BP1L,ENSG00000111647,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
GNB3,ENSG00000111664,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
C2CD5,ENSG00000111731,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EPM2A,ENSG00000112425,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
CEP72,ENSG00000112877,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 30%
ACVR1,ENSG00000115170,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PDE4D,ENSG00000113448,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
FANCL,ENSG00000115392,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
CRBN,ENSG00000113851,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TFDP2,ENSG00000114126,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PFKFB4,ENSG00000114268,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SOS1,ENSG00000115904,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SLC41A3,ENSG00000114544,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ADAM23,ENSG00000114948,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MARK1,ENSG00000116141,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GPX7,ENSG00000116157,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
GRB14,ENSG00000115290,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
FN1,ENSG00000115414,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
SF3B1,ENSG00000115524,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ST3GAL5,ENSG00000115525,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
AKT3,ENSG00000117020,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
PASK,ENSG00000115687,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PASK,ENSG00000115687,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ADGRL2,ENSG00000117114,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ERI3,ENSG00000117419,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PROX1,ENSG00000117707,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EDEM3,ENSG00000116406,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DLGAP3,ENSG00000116544,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
DLGAP3,ENSG00000116544,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
USP35,ENSG00000118369,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
UBE3D,ENSG00000118420,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PCDH17,ENSG00000118946,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
ELL2,ENSG00000118985,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HMGCL,ENSG00000117305,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
B4GALT2,ENSG00000117411,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TRIM32,ENSG00000119401,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HELLS,ENSG00000119969,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GRIA2,ENSG00000120251,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 50%
WDR35,ENSG00000118965,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
WDR35,ENSG00000118965,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
CCDC92,ENSG00000119242,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
DNMT3A,ENSG00000119772,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
SIL1,ENSG00000120725,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
SPOP,ENSG00000121067,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
MED13L,ENSG00000123066,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
SLC36A1,ENSG00000123643,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PFKFB2,ENSG00000123836,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SERAC1,ENSG00000122335,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SHLD2,ENSG00000122376,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MTRR,ENSG00000124275,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 50%
PEPD,ENSG00000124299,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ATP8A1,ENSG00000124406,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BBS9,ENSG00000122507,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SH3TC1,ENSG00000125089,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
HROB,ENSG00000125319,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CYREN,ENSG00000122783,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PKN1,ENSG00000123143,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
WDR83,ENSG00000123154,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DDX31,ENSG00000125485,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AP5S1,ENSG00000125843,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
STX16,ENSG00000124222,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
BTN2A2,ENSG00000124508,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ZNF484,ENSG00000127081,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RIOK1,ENSG00000124784,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AHNAK,ENSG00000124942,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
RAB3IP,ENSG00000127328,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ABCC4,ENSG00000125257,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
IRF1,ENSG00000125347,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PMS2P3,ENSG00000127957,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RALY,ENSG00000125970,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
RALY,ENSG00000125970,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
KCNC1,ENSG00000129159,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ATG14,ENSG00000126775,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CDO1,ENSG00000129596,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
RPL36,ENSG00000130255,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
UNC13A,ENSG00000130477,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
UNC13A,ENSG00000130477,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 70%
PXDN,ENSG00000130508,non-NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
CEP85,ENSG00000130695,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
LAMA5,ENSG00000130702,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TUBGCP6,ENSG00000128159,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
SYNE1,ENSG00000131018,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 50%
SERGEF,ENSG00000129158,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
PGAP6,ENSG00000129925,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SPATA6,ENSG00000132122,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
LANCL2,ENSG00000132434,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TAF4,ENSG00000130699,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MTSS2,ENSG00000132613,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
COG6,ENSG00000133103,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TRAF3,ENSG00000131323,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
HACL1,ENSG00000131373,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MGAT1,ENSG00000131446,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ARNTL,ENSG00000133794,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
EFR3A,ENSG00000132294,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CDK7,ENSG00000134058,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
THUMPD3,ENSG00000134077,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
MEIS2,ENSG00000134138,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 50%
EEFSEC,ENSG00000132394,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ANO3,ENSG00000134343,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
NES,ENSG00000132688,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
DAGLA,ENSG00000134780,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
PDGFRA,ENSG00000134853,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MUTYH,ENSG00000132781,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SPART,ENSG00000133104,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CCNJL,ENSG00000135083,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
AGAP2,ENSG00000135439,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
KMT5C,ENSG00000133247,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HSPBP1,ENSG00000133265,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SLC2A11,ENSG00000133460,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
WASHC4,ENSG00000136051,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RCBTB2,ENSG00000136161,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
C7orf25,ENSG00000136197,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DGKB,ENSG00000136267,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
AGO4,ENSG00000134698,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RSAD1,ENSG00000136444,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
LIMD2,ENSG00000136490,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DTNA,ENSG00000134769,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
ARHGAP32,ENSG00000134909,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 70%
DAB2IP,ENSG00000136848,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
NCBP1,ENSG00000136937,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DSCC1,ENSG00000136982,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TMEM8B,ENSG00000137103,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
MICAL1,ENSG00000135596,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
MICAL1,ENSG00000135596,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
FHOD1,ENSG00000135723,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CEP350,ENSG00000135837,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
HAUS2,ENSG00000137814,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
TGFBRAP1,ENSG00000135966,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
EPC2,ENSG00000135999,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DRAM1,ENSG00000136048,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
