le_id,timing,gene_name,variable,value,nmdi,plotName
ENSG00000011114.15_3,Late,BTBD7,mean_PPAU_CTRLchx.x,0.0672128270555768,Control,
ENSG00000072756.17_5,Late,TRNT1,mean_PPAU_CTRLchx.x,0.0331556133533636,Control,
ENSG00000085063.17_2,Late,CD59,mean_PPAU_CTRLchx.x,0.0471481912222782,Control,
ENSG00000092140.16_1,Late,G2E3,mean_PPAU_CTRLchx.x,0,Control,
ENSG00000103264.18_3,Late,FBXO31,mean_PPAU_CTRLchx.x,0.0111368841467365,Control,
ENSG00000104435.14_1,Early,STMN2,mean_PPAU_CTRLchx.x,0.0211019325656438,Control,
ENSG00000108587.16_4,Late,GOSR1,mean_PPAU_CTRLchx.x,0.00853192816608018,Control,
ENSG00000112200.17_3,Late,ZNF451,mean_PPAU_CTRLchx.x,0.0391128205824639,Control,
ENSG00000115107.20_2,Late,STEAP3,mean_PPAU_CTRLchx.x,0.027387728362091,Control,
ENSG00000115904.15_3,Late,SOS1,mean_PPAU_CTRLchx.x,0.0521982767577482,Control,
ENSG00000116128.12_2,Late,BCL9,mean_PPAU_CTRLchx.x,0.0552121404911935,Control,
ENSG00000117020.19_2,Late,AKT3,mean_PPAU_CTRLchx.x,0.00954426435469127,Control,
ENSG00000119392.16_1,Late,GLE1,mean_PPAU_CTRLchx.x,0.0515599534135501,Control,
ENSG00000125676.20_3,Late,THOC2,mean_PPAU_CTRLchx.x,0.175277572812939,Control,
ENSG00000126767.18_2,Early,ELK1,mean_PPAU_CTRLchx.x,0.0436423627244812,Control,
ENSG00000134909.19_1,Early,ARHGAP32,mean_PPAU_CTRLchx.x,0.0424047579270492,Control,
ENSG00000135387.21_2,Early,CAPRIN1,mean_PPAU_CTRLchx.x,0.0940143957644272,Control,
ENSG00000138083.5_2,Early,SIX3,mean_PPAU_CTRLchx.x,0.0664296056152864,Control,
ENSG00000138606.20_7,Late,SHF,mean_PPAU_CTRLchx.x,0.0573973409420365,Control,
ENSG00000139910.20_7,Late,NOVA1,mean_PPAU_CTRLchx.x,0.0607410367804588,Control,
ENSG00000140750.17_5,Late,ARHGAP17,mean_PPAU_CTRLchx.x,0.00141661710985044,Control,
ENSG00000143434.17_3,Late,SEMA6C,mean_PPAU_CTRLchx.x,0.092048074021048,Control,
ENSG00000151692.15_2,Late,RNF144A,mean_PPAU_CTRLchx.x,0.00665078734432616,Control,
ENSG00000151692.15_6,Late,RNF144A,mean_PPAU_CTRLchx.x,0.0972557319876395,Control,
ENSG00000152061.24_1,Late,RABGAP1L,mean_PPAU_CTRLchx.x,0.0339184504941322,Control,
ENSG00000162849.16_2,Late,KIF26B,mean_PPAU_CTRLchx.x,0.00293332591319947,Control,
ENSG00000171094.18_1,Early,ALK,mean_PPAU_CTRLchx.x,0.0298306329642059,Control,
ENSG00000172915.20_3,Late,NBEA,mean_PPAU_CTRLchx.x,0.0233293833269491,Control,
ENSG00000181090.21_6,Late,EHMT1,mean_PPAU_CTRLchx.x,0.0162122837475789,Control,
ENSG00000182010.11_1,Late,RTKN2,mean_PPAU_CTRLchx.x,0.0474487527470848,Control,
ENSG00000182903.16_2,Late,ZNF721,mean_PPAU_CTRLchx.x,0.0397428056088585,Control,
ENSG00000187951.11_3,Late,ENSG00000187951,mean_PPAU_CTRLchx.x,0.0268032651582146,Control,
ENSG00000197724.11_1,Late,PHF2,mean_PPAU_CTRLchx.x,0.00243613005796624,Control,
ENSG00000198373.13_3,Late,WWP2,mean_PPAU_CTRLchx.x,0.0754954856082749,Control,
ENSG00000198908.12_1,Late,BHLHB9,mean_PPAU_CTRLchx.x,0.0302524804010425,Control,
ENSG00000198952.8_2,Late,SMG5,mean_PPAU_CTRLchx.x,0.0419485510169845,Control,
ENSG00000216895.9_4,Late,ENSG00000216895,mean_PPAU_CTRLchx.x,0.0384768293806477,Control,
ENSG00000254093.9_4,Late,PINX1,mean_PPAU_CTRLchx.x,0.0224811466289145,Control,
"ENSG00000268797.1,ENSG00000269858.6,ENSG00000171570.11_2",Late,ENSG00000268797,mean_PPAU_CTRLchx.x,0.118885611649975,Control,
ENSG00000011114.15_3,Late,BTBD7,mean_PPAU_DOXchx.x,0.0807587324997636,KD,BTBD7
ENSG00000072756.17_5,Late,TRNT1,mean_PPAU_DOXchx.x,0.0363969088792895,KD,TRNT1
ENSG00000085063.17_2,Late,CD59,mean_PPAU_DOXchx.x,0.041133393745504,KD,CD59
ENSG00000092140.16_1,Late,G2E3,mean_PPAU_DOXchx.x,0.190312566996692,KD,G2E3
ENSG00000103264.18_3,Late,FBXO31,mean_PPAU_DOXchx.x,0.01648582505677,KD,FBXO31
ENSG00000104435.14_1,Early,STMN2,mean_PPAU_DOXchx.x,0.99519677062493,KD,STMN2
ENSG00000108587.16_4,Late,GOSR1,mean_PPAU_DOXchx.x,0.0194416744460376,KD,GOSR1
ENSG00000112200.17_3,Late,ZNF451,mean_PPAU_DOXchx.x,0.0452561221166172,KD,ZNF451
ENSG00000115107.20_2,Late,STEAP3,mean_PPAU_DOXchx.x,0.113683897896933,KD,STEAP3
ENSG00000115904.15_3,Late,SOS1,mean_PPAU_DOXchx.x,0.0452122214466574,KD,SOS1
ENSG00000116128.12_2,Late,BCL9,mean_PPAU_DOXchx.x,0.0962873809743441,KD,BCL9
ENSG00000117020.19_2,Late,AKT3,mean_PPAU_DOXchx.x,0.0246876128535025,KD,AKT3
ENSG00000119392.16_1,Late,GLE1,mean_PPAU_DOXchx.x,0.144962857637014,KD,GLE1
ENSG00000125676.20_3,Late,THOC2,mean_PPAU_DOXchx.x,0.136619483049104,KD,THOC2
ENSG00000126767.18_2,Early,ELK1,mean_PPAU_DOXchx.x,0.837091996055425,KD,ELK1
ENSG00000134909.19_1,Early,ARHGAP32,mean_PPAU_DOXchx.x,0.740907789014345,KD,ARHGAP32
ENSG00000135387.21_2,Early,CAPRIN1,mean_PPAU_DOXchx.x,0.070607603012332,KD,CAPRIN1
ENSG00000138083.5_2,Early,SIX3,mean_PPAU_DOXchx.x,0.643110076270587,KD,SIX3
ENSG00000138606.20_7,Late,SHF,mean_PPAU_DOXchx.x,0.0613622557992875,KD,SHF
ENSG00000139910.20_7,Late,NOVA1,mean_PPAU_DOXchx.x,0.0860456615547541,KD,NOVA1
ENSG00000140750.17_5,Late,ARHGAP17,mean_PPAU_DOXchx.x,0.0709680162025912,KD,ARHGAP17
ENSG00000143434.17_3,Late,SEMA6C,mean_PPAU_DOXchx.x,0.0929237740256512,KD,SEMA6C
ENSG00000151692.15_2,Late,RNF144A,mean_PPAU_DOXchx.x,0.0259949462725764,KD,RNF144A
ENSG00000151692.15_6,Late,RNF144A,mean_PPAU_DOXchx.x,0.370192572021977,KD,RNF144A
ENSG00000152061.24_1,Late,RABGAP1L,mean_PPAU_DOXchx.x,0.0838673053036828,KD,RABGAP1L
ENSG00000162849.16_2,Late,KIF26B,mean_PPAU_DOXchx.x,0.269479492984008,KD,KIF26B
ENSG00000171094.18_1,Early,ALK,mean_PPAU_DOXchx.x,0.110871727321604,KD,ALK
ENSG00000172915.20_3,Late,NBEA,mean_PPAU_DOXchx.x,0.0571348930899902,KD,NBEA
ENSG00000181090.21_6,Late,EHMT1,mean_PPAU_DOXchx.x,0.0248944678329943,KD,EHMT1
ENSG00000182010.11_1,Late,RTKN2,mean_PPAU_DOXchx.x,0.125286959414259,KD,RTKN2
ENSG00000182903.16_2,Late,ZNF721,mean_PPAU_DOXchx.x,0.0427163336554131,KD,ZNF721
ENSG00000187951.11_3,Late,ENSG00000187951,mean_PPAU_DOXchx.x,0.0246006668857121,KD,ENSG00000187951
ENSG00000197724.11_1,Late,PHF2,mean_PPAU_DOXchx.x,0.378156977831145,KD,PHF2
ENSG00000198373.13_3,Late,WWP2,mean_PPAU_DOXchx.x,0.0614872853076968,KD,WWP2
ENSG00000198908.12_1,Late,BHLHB9,mean_PPAU_DOXchx.x,0.0569431965459802,KD,BHLHB9
ENSG00000198952.8_2,Late,SMG5,mean_PPAU_DOXchx.x,0.053652186887217,KD,SMG5
ENSG00000216895.9_4,Late,ENSG00000216895,mean_PPAU_DOXchx.x,0.0169178625049194,KD,ENSG00000216895
ENSG00000254093.9_4,Late,PINX1,mean_PPAU_DOXchx.x,0.0759812925034118,KD,PINX1
"ENSG00000268797.1,ENSG00000269858.6,ENSG00000171570.11_2",Late,ENSG00000268797,mean_PPAU_DOXchx.x,0.169304539199748,KD,ENSG00000268797
ENSG00000011114.15_3,Late,BTBD7,mean_PPAU_CTRLctrl,0.0718290401867393,Control,
ENSG00000072756.17_5,Late,TRNT1,mean_PPAU_CTRLctrl,0.113493019499877,Control,
ENSG00000085063.17_2,Late,CD59,mean_PPAU_CTRLctrl,0.0718140495744713,Control,
ENSG00000092140.16_1,Late,G2E3,mean_PPAU_CTRLctrl,0,Control,
ENSG00000103264.18_3,Late,FBXO31,mean_PPAU_CTRLctrl,0.0886581428902011,Control,
ENSG00000104435.14_1,Early,STMN2,mean_PPAU_CTRLctrl,0.0222674091825559,Control,
ENSG00000108587.16_4,Late,GOSR1,mean_PPAU_CTRLctrl,0.00632398504004924,Control,
ENSG00000112200.17_3,Late,ZNF451,mean_PPAU_CTRLctrl,0.0693162573230984,Control,
ENSG00000115107.20_2,Late,STEAP3,mean_PPAU_CTRLctrl,0.0447184077815557,Control,
ENSG00000115904.15_3,Late,SOS1,mean_PPAU_CTRLctrl,0.0635768489840224,Control,
ENSG00000116128.12_2,Late,BCL9,mean_PPAU_CTRLctrl,0.0635401830929378,Control,
ENSG00000117020.19_2,Late,AKT3,mean_PPAU_CTRLctrl,0.00909263119482238,Control,
ENSG00000119392.16_1,Late,GLE1,mean_PPAU_CTRLctrl,0.0344600424979445,Control,
ENSG00000125676.20_3,Late,THOC2,mean_PPAU_CTRLctrl,0.00577269257030649,Control,
ENSG00000126767.18_2,Early,ELK1,mean_PPAU_CTRLctrl,0.0631720983455421,Control,
ENSG00000134909.19_1,Early,ARHGAP32,mean_PPAU_CTRLctrl,0.00776296506475386,Control,
ENSG00000135387.21_2,Early,CAPRIN1,mean_PPAU_CTRLctrl,0.0723945901596142,Control,
ENSG00000138083.5_2,Early,SIX3,mean_PPAU_CTRLctrl,0.106710830840843,Control,
ENSG00000138606.20_7,Late,SHF,mean_PPAU_CTRLctrl,0.0507372822587513,Control,
ENSG00000139910.20_7,Late,NOVA1,mean_PPAU_CTRLctrl,0.130601829745837,Control,
ENSG00000140750.17_5,Late,ARHGAP17,mean_PPAU_CTRLctrl,0.0408294122466451,Control,
ENSG00000143434.17_3,Late,SEMA6C,mean_PPAU_CTRLctrl,0.0932290245859544,Control,
ENSG00000151692.15_2,Late,RNF144A,mean_PPAU_CTRLctrl,0.0142923908027209,Control,
ENSG00000151692.15_6,Late,RNF144A,mean_PPAU_CTRLctrl,0.0174257520959472,Control,
ENSG00000152061.24_1,Late,RABGAP1L,mean_PPAU_CTRLctrl,0.0294595640879432,Control,
ENSG00000162849.16_2,Late,KIF26B,mean_PPAU_CTRLctrl,0.000420165806525141,Control,
ENSG00000171094.18_1,Early,ALK,mean_PPAU_CTRLctrl,0.0431263431331184,Control,
ENSG00000172915.20_3,Late,NBEA,mean_PPAU_CTRLctrl,0.0310353712507655,Control,
ENSG00000181090.21_6,Late,EHMT1,mean_PPAU_CTRLctrl,0.0017792117818978,Control,
ENSG00000182010.11_1,Late,RTKN2,mean_PPAU_CTRLctrl,0.043273914073181,Control,
ENSG00000182903.16_2,Late,ZNF721,mean_PPAU_CTRLctrl,0.082521656030976,Control,
ENSG00000187951.11_3,Late,ENSG00000187951,mean_PPAU_CTRLctrl,0.0169391923838414,Control,
ENSG00000197724.11_1,Late,PHF2,mean_PPAU_CTRLctrl,0.00682642912074596,Control,
ENSG00000198373.13_3,Late,WWP2,mean_PPAU_CTRLctrl,0.0695064466334815,Control,
ENSG00000198908.12_1,Late,BHLHB9,mean_PPAU_CTRLctrl,0.0350169102382676,Control,
ENSG00000198952.8_2,Late,SMG5,mean_PPAU_CTRLctrl,0.103352016788193,Control,
ENSG00000216895.9_4,Late,ENSG00000216895,mean_PPAU_CTRLctrl,0.026324337619416,Control,
ENSG00000254093.9_4,Late,PINX1,mean_PPAU_CTRLctrl,0.0491865239318743,Control,
"ENSG00000268797.1,ENSG00000269858.6,ENSG00000171570.11_2",Late,ENSG00000268797,mean_PPAU_CTRLctrl,0.0592377164036129,Control,
ENSG00000011114.15_3,Late,BTBD7,mean_PPAU_DOX,0.0922960076683323,KD,BTBD7
ENSG00000072756.17_5,Late,TRNT1,mean_PPAU_DOX,0.0966534202115448,KD,TRNT1
ENSG00000085063.17_2,Late,CD59,mean_PPAU_DOX,0.0561144262174489,KD,CD59
ENSG00000092140.16_1,Late,G2E3,mean_PPAU_DOX,0.364348157420792,KD,G2E3
ENSG00000103264.18_3,Late,FBXO31,mean_PPAU_DOX,0.0775678424885116,KD,FBXO31
ENSG00000104435.14_1,Early,STMN2,mean_PPAU_DOX,0.997798824358303,KD,STMN2
ENSG00000108587.16_4,Late,GOSR1,mean_PPAU_DOX,0.0399350510181512,KD,GOSR1
ENSG00000112200.17_3,Late,ZNF451,mean_PPAU_DOX,0.113546202534062,KD,ZNF451
ENSG00000115107.20_2,Late,STEAP3,mean_PPAU_DOX,0.130950159739414,KD,STEAP3
ENSG00000115904.15_3,Late,SOS1,mean_PPAU_DOX,0.0839851030371319,KD,SOS1
ENSG00000116128.12_2,Late,BCL9,mean_PPAU_DOX,0.106066969266681,KD,BCL9
ENSG00000117020.19_2,Late,AKT3,mean_PPAU_DOX,0.0193758787706541,KD,AKT3
ENSG00000119392.16_1,Late,GLE1,mean_PPAU_DOX,0.179161136303674,KD,GLE1
ENSG00000125676.20_3,Late,THOC2,mean_PPAU_DOX,0,KD,THOC2
ENSG00000126767.18_2,Early,ELK1,mean_PPAU_DOX,0.906691846030603,KD,ELK1
ENSG00000134909.19_1,Early,ARHGAP32,mean_PPAU_DOX,0.746404895792012,KD,ARHGAP32
ENSG00000135387.21_2,Early,CAPRIN1,mean_PPAU_DOX,0.0686951057748729,KD,CAPRIN1
ENSG00000138083.5_2,Early,SIX3,mean_PPAU_DOX,0.725291217399904,KD,SIX3
ENSG00000138606.20_7,Late,SHF,mean_PPAU_DOX,0.0578040523057014,KD,SHF
ENSG00000139910.20_7,Late,NOVA1,mean_PPAU_DOX,0.0188547329617602,KD,NOVA1
ENSG00000140750.17_5,Late,ARHGAP17,mean_PPAU_DOX,0.0279251803813176,KD,ARHGAP17
ENSG00000143434.17_3,Late,SEMA6C,mean_PPAU_DOX,0.0897155626569167,KD,SEMA6C
ENSG00000151692.15_2,Late,RNF144A,mean_PPAU_DOX,0.0785231646406177,KD,RNF144A
ENSG00000151692.15_6,Late,RNF144A,mean_PPAU_DOX,0.100614728115866,KD,RNF144A
ENSG00000152061.24_1,Late,RABGAP1L,mean_PPAU_DOX,0.104067297493436,KD,RABGAP1L
ENSG00000162849.16_2,Late,KIF26B,mean_PPAU_DOX,0.376044912599278,KD,KIF26B
ENSG00000171094.18_1,Early,ALK,mean_PPAU_DOX,0.131279156523604,KD,ALK
ENSG00000172915.20_3,Late,NBEA,mean_PPAU_DOX,0.0530192132899723,KD,NBEA
ENSG00000181090.21_6,Late,EHMT1,mean_PPAU_DOX,0.0105045765878766,KD,EHMT1
ENSG00000182010.11_1,Late,RTKN2,mean_PPAU_DOX,0.0832178314759313,KD,RTKN2
ENSG00000182903.16_2,Late,ZNF721,mean_PPAU_DOX,0.107828603824153,KD,ZNF721
ENSG00000187951.11_3,Late,ENSG00000187951,mean_PPAU_DOX,0.322146315728613,KD,ENSG00000187951
ENSG00000197724.11_1,Late,PHF2,mean_PPAU_DOX,0.54835258605405,KD,PHF2
ENSG00000198373.13_3,Late,WWP2,mean_PPAU_DOX,0.0596842586994208,KD,WWP2
ENSG00000198908.12_1,Late,BHLHB9,mean_PPAU_DOX,0.0577130916269198,KD,BHLHB9
ENSG00000198952.8_2,Late,SMG5,mean_PPAU_DOX,0.124606225058459,KD,SMG5
ENSG00000216895.9_4,Late,ENSG00000216895,mean_PPAU_DOX,0.00750927146118195,KD,ENSG00000216895
ENSG00000254093.9_4,Late,PINX1,mean_PPAU_DOX,0.0430492325808773,KD,PINX1
"ENSG00000268797.1,ENSG00000269858.6,ENSG00000171570.11_2",Late,ENSG00000268797,mean_PPAU_DOX,0.0853783185356104,KD,ENSG00000268797
