sample,experiment,replicate,value
0,old,1,1
0.02,old,1,0.356
0.03,old,1,0.176
0.04,old,1,0.125
0.05,old,1,0.103
0.075,old,1,0.11
0.1,old,1,0.073
1,old,1,0.098
0,new,1,1
0.02,new,1,0.686
0.03,new,1,0.575
0.04,new,1,0.38
0.05,new,1,0.279
0.075,new,1,0.171
0.1,new,1,0.129
1,new,1,0.049
0,old,2,1
0.02,old,2,0.357
0.03,old,2,0.141
0.04,old,2,0.087
0.05,old,2,0.075
0.075,old,2,0.082
0.1,old,2,0.073
1,old,2,0.05
0,new,2,1
0.02,new,2,0.574
0.03,new,2,0.413
0.04,new,2,0.236
0.05,new,2,0.162
0.075,new,2,0.09
0.1,new,2,0.079
1,new,2,0.047
0,old,3,1
0.02,old,3,0.489
0.03,old,3,0.135
0.04,old,3,0.11
0.05,old,3,0.118
0.075,old,3,0.073
0.1,old,3,0.068
1,old,3,0.04
0,new,3,1
0.02,new,3,0.701
0.03,new,3,0.445
0.04,new,3,0.234
0.05,new,3,0.189
0.075,new,3,0.117
0.1,new,3,0.091
1,new,3,0.073
0,new_new,1,0.78133514
0.02,new_new,1,0.535773941
0.03,new_new,1,0.449112976
0.04,new_new,1,0.29718238
0.05,new_new,1,0.218004166
0.075,new_new,1,0.13398642
0.1,new_new,1,0.100977956
1,new_new,1,0.038569973
0,new_new,2,1.200856825
0.02,new_new,2,0.783029689
0.03,new_new,2,0.558120234
0.04,new_new,2,0.329929665
0.05,new_new,2,0.266184936
0.075,new_new,2,0.165320603
0.1,new_new,2,0.128203674
1,new_new,2,0.103183765
0,new_new,3,1.065789439
0.02,new_new,3,0.612012207
0.03,new_new,3,0.439678967
0.04,new_new,3,0.251536379
0.05,new_new,3,0.17253197
0.075,new_new,3,0.095550361
0.1,new_new,3,0.084122874
1,new_new,3,0.050058428