Treatment,Gene,Value,Line_Group,Color_Group
0.0125,TDP-RNA,71,RNA,TDP-43
0.0125,TDP-RNA,92,RNA,TDP-43
0.0125,TDP-RNA,73,RNA,TDP-43
0.0187,TDP-RNA,44,RNA,TDP-43
0.0187,TDP-RNA,53,RNA,TDP-43
0.0187,TDP-RNA,41,RNA,TDP-43
0.021,TDP-RNA,27,RNA,TDP-43
0.021,TDP-RNA,27,RNA,TDP-43
0.021,TDP-RNA,27,RNA,TDP-43
0.025,TDP-RNA,20,RNA,TDP-43
0.025,TDP-RNA,15,RNA,TDP-43
0.025,TDP-RNA,18,RNA,TDP-43
0.075,TDP-RNA,3,RNA,TDP-43
0.075,TDP-RNA,3,RNA,TDP-43
0.075,TDP-RNA,3,RNA,TDP-43
0,TDP-RNA,115,RNA,TDP-43
0,TDP-RNA,93,RNA,TDP-43
0,TDP-RNA,100,RNA,TDP-43